r,t,y,NewCapacity
RE1,DEMRESBIO,2034,1718.8047
RE1,DEMRESBIO,2035,1732.2551
RE1,DEMRESBIO,2036,1728.1244
RE1,DEMRESBIO,2037,1724.2018
RE1,DEMRESBIO,2038,1720.5732
RE1,DEMRESBIO,2039,1717.3412
RE1,DEMRESBIO,2040,1709.3341
RE1,DEMRESBIO,2041,1705.7351
RE1,DEMRESBIO,2042,1684.6685
RE1,DEMRESBIO,2043,1662.7834
RE1,DEMRESBIO,2044,1646.2083
RE1,DEMRESBIO,2045,1633.9304
RE1,DEMRESBIO,2046,1621.7401
RE1,DEMRESBIO,2047,1631.5145
RE1,DEMRESBIO,2048,1614.6652
RE1,DEMRESBIO,2049,1599.2178
RE1,DEMRESBIO,2050,1575.342
RE1,DEMINDCOA,2020,9.43
RE1,DEMINDCOA,2021,10.021
RE1,DEMINDCOA,2022,11.3996
RE1,DEMINDCOA,2023,12.7782
RE1,DEMINDCOA,2024,14.1568
RE1,DEMINDCOA,2025,15.5353
RE1,DEMINDCOA,2026,16.9139
RE1,DEMINDCOA,2027,18.2925
RE1,DEMINDCOA,2028,19.6711
RE1,DEMINDCOA,2029,21.0497
RE1,DEMINDCOA,2030,22.4283
RE1,DEMINDCOA,2031,23.8069
RE1,DEMINDCOA,2032,25.1854
RE1,DEMINDCOA,2033,26.564
RE1,DEMINDCOA,2034,27.9426
RE1,DEMINDCOA,2035,29.3212
RE1,DEMINDCOA,2036,30.6998
RE1,DEMINDCOA,2037,32.0784
RE1,DEMINDCOA,2038,33.457
RE1,DEMINDCOA,2039,34.8356
RE1,DEMINDCOA,2040,36.2141
RE1,DEMINDCOA,2041,37.5927
RE1,DEMINDCOA,2042,38.9713
RE1,DEMINDCOA,2043,40.3499
RE1,DEMINDCOA,2044,41.7285
RE1,DEMINDCOA,2045,43.1071
RE1,DEMINDCOA,2046,44.4857
RE1,DEMINDCOA,2047,45.8642
RE1,DEMINDCOA,2048,47.2428
RE1,DEMINDCOA,2049,48.6214
RE1,DEMINDCOA,2050,50.0
RE1,MINLND,2020,1130.0
RE1,MINLND,2021,0.0
RE1,MINLND,2022,-0.0
RE1,MINLND,2023,0.0
RE1,MINLND,2024,0.0
RE1,MINLND,2025,0.0
RE1,MINLND,2026,0.0
RE1,MINLND,2027,-0.0
RE1,MINLND,2028,0.0
RE1,MINLND,2029,0.0
RE1,MINLND,2030,0.0
RE1,MINLND,2031,0.0
RE1,MINLND,2032,-0.0
RE1,MINLND,2033,0.0
RE1,MINLND,2034,0.0
RE1,MINLND,2035,0.0
RE1,MINLND,2036,0.0
RE1,MINLND,2037,-0.0
RE1,MINLND,2038,0.0
RE1,MINLND,2039,0.0
RE1,MINLND,2040,0.0
RE1,MINLND,2041,0.0
RE1,MINLND,2042,-0.0
RE1,MINLND,2043,0.0
RE1,MINLND,2044,0.0
RE1,MINLND,2045,0.0
RE1,MINLND,2046,0.0
RE1,MINLND,2047,0.0
RE1,MINLND,2048,0.0
RE1,MINLND,2049,0.0
RE1,MINLND,2050,0.0
RE1,LNDCERHR,2020,0.0
RE1,LNDCERHR,2021,0.1829
RE1,LNDCERHR,2022,0.1756
RE1,LNDCERHR,2023,0.1686
RE1,LNDCERHR,2024,0.2143
RE1,LNDCERHR,2025,0.2018
RE1,LNDCERHR,2026,0.2128
RE1,LNDCERHR,2027,0.1987
RE1,LNDCERHR,2028,0.2048
RE1,LNDCERHR,2029,0.2071
RE1,LNDCERHR,2030,0.2057
RE1,LNDCERHR,2031,0.201
RE1,LNDCERHR,2032,0.1935
RE1,LNDCERHR,2033,0.1838
RE1,LNDCERHR,2034,0.1908
RE1,LNDCERHR,2035,0.1874
RE1,LNDCERHR,2036,0.4011
RE1,LNDCERHR,2037,0.382
RE1,LNDCERHR,2038,0.3327
RE1,LNDCERHR,2039,0.3788
RE1,LNDCERHR,2040,0.2386
RE1,LNDCERHR,2041,0.25
RE1,LNDCERHR,2042,0.2363
RE1,LNDCERHR,2043,0.2428
RE1,LNDCERHR,2044,0.2454
RE1,LNDCERHR,2045,0.2444
RE1,LNDCERHR,2046,0.2401
RE1,LNDCERHR,2047,0.233
RE1,LNDCERHR,2048,0.2237
RE1,LNDCERHR,2049,0.231
RE1,LNDCERHR,2050,0.2281
RE1,LNDCERLR,2020,0.0
RE1,LNDCERLR,2021,0.0
RE1,LNDCERLR,2022,2.2715
RE1,LNDCERLR,2023,2.2326
RE1,LNDCERLR,2024,2.6681
RE1,LNDCERLR,2025,2.6782
RE1,LNDCERLR,2026,2.7256
RE1,LNDCERLR,2027,2.4696
RE1,LNDCERLR,2028,2.2046
RE1,LNDCERLR,2029,2.1498
RE1,LNDCERLR,2030,1.4077
RE1,LNDCERLR,2031,0.6912
RE1,LNDCERLR,2032,0.0
RE1,LNDCERLR,2033,0.0
RE1,LNDCERLR,2034,0.0
RE1,LNDCERLR,2035,0.0
RE1,LNDCERLR,2036,0.0
RE1,LNDCERLR,2037,0.0
RE1,LNDCERLR,2038,0.0
RE1,LNDCERLR,2039,0.0
RE1,LNDCERLR,2040,0.0
RE1,LNDCERLR,2041,0.0
RE1,LNDCERLR,2042,0.0
RE1,LNDCERLR,2043,0.0
RE1,LNDCERLR,2044,0.0
RE1,LNDCERLR,2045,0.0
RE1,LNDCERLR,2046,0.0
RE1,LNDCERLR,2047,0.0
RE1,LNDCERLR,2048,0.0
RE1,LNDCERLR,2049,0.0
RE1,LNDCERLR,2050,0.0
RE1,LNDCERHI,2020,0.0
RE1,LNDCERHI,2021,0.064
RE1,LNDCERHI,2022,0.0
RE1,LNDCERHI,2023,0.0
RE1,LNDCERHI,2024,0.0
RE1,LNDCERHI,2025,0.0
RE1,LNDCERHI,2026,0.0
RE1,LNDCERHI,2027,0.0
RE1,LNDCERHI,2028,0.0
RE1,LNDCERHI,2029,0.0
RE1,LNDCERHI,2030,0.0
RE1,LNDCERHI,2031,0.0
RE1,LNDCERHI,2032,0.0
RE1,LNDCERHI,2033,0.0
RE1,LNDCERHI,2034,0.0043
RE1,LNDCERHI,2035,0.005
RE1,LNDCERHI,2036,0.0698
RE1,LNDCERHI,2037,0.0055
RE1,LNDCERHI,2038,0.0044
RE1,LNDCERHI,2039,0.0044
RE1,LNDCERHI,2040,0.0009
RE1,LNDCERHI,2041,0.0009
RE1,LNDCERHI,2042,0.001
RE1,LNDCERHI,2043,0.001
RE1,LNDCERHI,2044,0.001
RE1,LNDCERHI,2045,0.001
RE1,LNDCERHI,2046,0.001
RE1,LNDCERHI,2047,0.001
RE1,LNDCERHI,2048,0.001
RE1,LNDCERHI,2049,0.0054
RE1,LNDCERHI,2050,0.006
RE1,LNDCERLI,2020,0.0
RE1,LNDCERLI,2021,0.576
