REGION,FUEL,TECHNOLOGY,YEAR,MODE_OF_OPERATION,TIMESLICE,VALUE
RE1,AGRDSL,LNDRICRNF,2033,1,SD,0.1266
RE1,AGRDSL,LNDRICRNF,2034,1,SD,0.1238
RE1,AGRDSL,LNDRICRNF,2035,1,SD,0.1208
RE1,LND,LNDRICRNF,2020,1,SD,0.4781
RE1,LND,LNDRICRNF,2021,1,SD,0.4775
RE1,LND,LNDRICRNF,2022,1,SD,0.4769
RE1,LND,LNDRICRNF,2023,1,SD,0.476
RE1,LND,LNDRICRNF,2024,1,SD,0.4748
RE1,LND,LNDRICRNF,2025,1,SD,0.4727
RE1,LND,LNDRICRNF,2026,1,SD,0.4701
RE1,LND,LNDRICRNF,2027,1,SD,0.4666
RE1,LND,LNDRICRNF,2028,1,SD,0.4625
RE1,LND,LNDRICRNF,2029,1,SD,0.4579
RE1,LND,LNDRICRNF,2030,1,SD,0.4522
RE1,LND,LNDRICRNF,2031,1,SD,0.4457
RE1,LND,LNDRICRNF,2032,1,SD,0.4385
RE1,LND,LNDRICRNF,2033,1,SD,0.4305
RE1,LND,LNDRICRNF,2034,1,SD,0.4211
RE1,LND,LNDRICRNF,2035,1,SD,0.4108
RE1,WTRPRC,LNDRICRNF,2020,1,SD,0.5738
RE1,WTRPRC,LNDRICRNF,2021,1,SD,0.573
RE1,WTRPRC,LNDRICRNF,2022,1,SD,0.5722
RE1,WTRPRC,LNDRICRNF,2023,1,SD,0.5712
RE1,WTRPRC,LNDRICRNF,2024,1,SD,0.5697
RE1,WTRPRC,LNDRICRNF,2025,1,SD,0.5672
RE1,WTRPRC,LNDRICRNF,2026,1,SD,0.5642
RE1,WTRPRC,LNDRICRNF,2027,1,SD,0.5599
RE1,WTRPRC,LNDRICRNF,2028,1,SD,0.555
RE1,WTRPRC,LNDRICRNF,2029,1,SD,0.5495
RE1,WTRPRC,LNDRICRNF,2030,1,SD,0.5426
RE1,WTRPRC,LNDRICRNF,2031,1,SD,0.5348
RE1,WTRPRC,LNDRICRNF,2032,1,SD,0.5262
RE1,WTRPRC,LNDRICRNF,2033,1,SD,0.5166
RE1,WTRPRC,LNDRICRNF,2034,1,SD,0.5054
RE1,WTRPRC,LNDRICRNF,2035,1,SD,0.493
RE1,LND,LNDWAT,2020,1,SD,8.4071
RE1,LND,LNDWAT,2021,1,SD,8.3087
