REGION,TIMESLICE,FUEL,YEAR,VALUE
RE1,S11,CRPSGC,2024,0
RE1,S11,CRPSGC,2025,0
RE1,S11,CRPSGC,2026,0
RE1,S11,CRPSGC,2027,0
RE1,S11,CRPSGC,2028,0
RE1,S11,CRPSGC,2029,0
RE1,S11,CRPSGC,2030,0
RE1,S11,CRPSGC,2031,0
RE1,S11,CRPSGC,2032,0
RE1,S11,CRPSGC,2033,0
RE1,S11,CRPSGC,2034,0
RE1,S11,CRPSGC,2035,0
RE1,S11,CRPSGC,2036,0
RE1,S11,CRPSGC,2037,0
RE1,S11,CRPSGC,2038,0
RE1,S11,CRPSGC,2039,0
RE1,S11,CRPSGC,2040,0
RE1,S11,CRPSGC,2041,0
RE1,S11,CRPSGC,2042,0
RE1,S11,CRPSGC,2043,0
RE1,S11,CRPSGC,2044,0
RE1,S11,CRPSGC,2045,0
RE1,S11,CRPSGC,2046,0
RE1,S11,CRPSGC,2047,0
RE1,S11,CRPSGC,2048,0
RE1,S11,CRPSGC,2049,0
RE1,S11,CRPSGC,2050,0
RE1,S11,WTRPRC,2020,0
RE1,S11,WTRPRC,2021,0
RE1,S11,WTRPRC,2022,0
RE1,S11,WTRPRC,2023,0
RE1,S11,WTRPRC,2024,0
RE1,S11,WTRPRC,2025,0
RE1,S11,WTRPRC,2026,0
RE1,S11,WTRPRC,2027,0
RE1,S11,WTRPRC,2028,0
RE1,S11,WTRPRC,2029,0
RE1,S11,WTRPRC,2030,0
RE1,S11,WTRPRC,2031,0
RE1,S11,WTRPRC,2032,0
RE1,S11,WTRPRC,2033,0
RE1,S11,WTRPRC,2034,0
RE1,S11,WTRPRC,2035,0
RE1,S11,WTRPRC,2036,0
RE1,S11,WTRPRC,2037,0
RE1,S11,WTRPRC,2038,0
RE1,S11,WTRPRC,2039,0
RE1,S11,WTRPRC,2040,0
RE1,S11,WTRPRC,2041,0
RE1,S11,WTRPRC,2042,0
RE1,S11,WTRPRC,2043,0
RE1,S11,WTRPRC,2044,0
RE1,S11,WTRPRC,2045,0
RE1,S11,WTRPRC,2046,0
RE1,S11,WTRPRC,2047,0
RE1,S11,WTRPRC,2048,0
RE1,S11,WTRPRC,2049,0
RE1,S11,WTRPRC,2050,0
RE1,S11,AGRWAT,2020,0
RE1,S11,AGRWAT,2021,0
RE1,S11,AGRWAT,2022,0
RE1,S11,AGRWAT,2023,0
RE1,S11,AGRWAT,2024,0
RE1,S11,AGRWAT,2025,0
RE1,S11,AGRWAT,2026,0
RE1,S11,AGRWAT,2027,0
RE1,S11,AGRWAT,2028,0
RE1,S11,AGRWAT,2029,0
RE1,S11,AGRWAT,2030,0
RE1,S11,AGRWAT,2031,0
RE1,S11,AGRWAT,2032,0
RE1,S11,AGRWAT,2033,0
RE1,S11,AGRWAT,2034,0
RE1,S11,AGRWAT,2035,0
RE1,S11,AGRWAT,2036,0
RE1,S11,AGRWAT,2037,0
RE1,S11,AGRWAT,2038,0
RE1,S11,AGRWAT,2039,0
RE1,S11,AGRWAT,2040,0
RE1,S11,AGRWAT,2041,0
RE1,S11,AGRWAT,2042,0
RE1,S11,AGRWAT,2043,0
RE1,S11,AGRWAT,2044,0
RE1,S11,AGRWAT,2045,0
RE1,S11,AGRWAT,2046,0
RE1,S11,AGRWAT,2047,0
RE1,S11,AGRWAT,2048,0
RE1,S11,AGRWAT,2049,0
RE1,S11,AGRWAT,2050,0
